Date,Price,Open,High,Low,Change %,DPB
12/24/2017,0.4270,0.4210,0.4420,0.3770,1.18%,9.77699
12/17/2017,0.4220,0.3030,0.4320,0.2940,39.74%,-2.18973
12-10-2017,0.3020,0.3060,0.3400,0.2760,-2.27%,-0.936389999999999
12-03-2017,0.3090,0.3380,0.3520,0.2880,0.65%,-3.90441
11/26/2017,0.3070,0.3660,0.4150,0.2860,-14.96%,-3.90441
11/19/2017,0.3610,0.3530,0.3830,0.3350,-0.28%,-2.14146
11-12-2017,0.3620,0.4050,0.4310,0.3490,-11.71%,3.99377
11-05-2017,0.4100,0.3600,0.4140,0.3080,12.64%,-6.4194
10/29/2017,0.3640,0.3860,0.4000,0.3530,-5.21%,-6.4194
10/22/2017,0.3840,0.4460,0.5020,0.3820,-15.60%,-2.90421
10/15/2017,0.4550,0.4050,0.4610,0.3560,12.35%,0.079
10-08-2017,0.4050,0.4680,0.4700,0.4010,-11.96%,1.69904
10-01-2017,0.4600,0.4710,0.5050,0.4100,-0.86%,0.384140000000001
09/24/2017,0.4640,0.4440,0.5180,0.3940,3.80%,0.384140000000001
09/17/2017,0.4470,0.4420,0.4850,0.4270,3.47%,3.51539
09-10-2017,0.4320,0.3290,0.4560,0.3220,38.46%,-5.12507
09-03-2017,0.3120,0.3750,0.3850,0.2870,-17.68%,-2.24661
08/27/2017,0.3790,0.3810,0.4040,0.3160,-0.26%,-2.24661
08/20/2017,0.3800,0.4220,0.4270,0.3690,-8.65%,0.0782499999999986
08/13/2017,0.4160,0.3910,0.4660,0.3910,8.05%,3.03153
08-06-2017,0.3850,0.4700,0.4910,0.3720,-18.26%,-7.38807000000001
07/30/2017,0.4710,0.5290,0.5630,0.4460,-13.10%,-7.38807000000001
07/23/2017,0.5420,0.5130,0.5860,0.4880,7.33%,4.60186
07/16/2017,0.5050,0.6000,0.6000,0.4960,-14.98%,-9.71348
07-09-2017,0.5940,0.5720,0.6430,0.5290,3.66%,12.3655
07-02-2017,0.5730,0.4890,0.5800,0.4390,23.23%,18.5751
06/25/2017,0.4650,0.2590,0.4810,0.2290,81.64%,18.5751
06/18/2017,0.2560,0.2790,0.2980,0.2410,-7.58%,-2.69914
06-11-2017,0.2770,0.2660,0.3180,0.2250,5.32%,-4.22494
06-04-2017,0.2630,0.2790,0.3020,0.2440,-3.66%,-1.39246
05/28/2017,0.2730,0.3390,0.3420,0.2680,-18.02%,-1.39246
05/21/2017,0.3330,0.3790,0.4220,0.3220,-11.44%,-2.72888
05/14/2017,0.3760,0.3990,0.4500,0.3130,-4.57%,-3.73067
05-07-2017,0.3940,0.4300,0.4610,0.3830,-5.06%,2.06311
04/30/2017,0.4150,0.3300,0.4260,0.3110,28.09%,2.06311
04/23/2017,0.3240,0.3570,0.3940,0.2920,28.06%,4.16213
04/16/2017,0.2530,0.1760,0.2580,0.1530,33.86%,1.04403
04-09-2017,0.1890,0.2450,0.2460,0.1620,-17.11%,-4.29468
04-02-2017,0.2280,0.3310,0.3380,0.2160,-31.12%,-7.35106
03/26/2017,0.3310,0.3880,0.4180,0.3210,-18.47%,-7.35106
03/19/2017,0.4060,0.4330,0.4880,0.3870,-6.88%,-5.65655
03-12-2017,0.4360,0.4800,0.5100,0.3840,-9.92%,11.95611
03-05-2017,0.4840,0.3430,0.4970,0.3010,36.34%,3.41034
02/26/2017,0.3550,0.1910,0.3630,0.1850,95.05%,3.41034
