Date,Price,Open,High,Low,Change %
12/29/2019,-0.617,-0.801,-0.500,-0.801,-17.18%
12/22/2019,-0.745,-0.710,-0.710,-0.779,3.62%
12/15/2019,-0.719,-0.657,-0.649,-0.740,1.70%
12/08/2019,-0.707,-0.686,-0.653,-0.707,4.74%
12/01/2019,-0.675,-0.625,-0.622,-0.678,8.70%
11/24/2019,-0.621,-0.579,-0.568,-0.627,6.52%
11/17/2019,-0.583,-0.603,-0.575,-0.608,-3.80%
11/10/2019,-0.606,-0.604,-0.576,-0.621,4.66%
11/03/2019,-0.579,-0.599,-0.576,-0.623,-2.20%
10/27/2019,-0.592,-0.595,-0.586,-0.640,0.51%
10/20/2019,-0.589,-0.607,-0.572,-0.614,0.86%
10/13/2019,-0.584,-0.574,-0.558,-0.616,-0.85%
10/06/2019,-0.589,-0.591,-0.549,-0.607,-1.34%
09/29/2019,-0.597,-0.581,-0.564,-0.604,0.67%
09/22/2019,-0.593,-0.674,-0.480,-0.674,-8.35%
09/15/2019,-0.647,-0.629,-0.589,-0.700,-1.07%
09/08/2019,-0.654,-0.645,-0.596,-0.717,-6.70%
09/01/2019,-0.701,-0.736,-0.689,-0.740,-3.97%
08/25/2019,-0.730,-0.722,-0.689,-0.741,3.84%
08/18/2019,-0.703,-0.674,-0.674,-0.718,1.88%
08/11/2019,-0.690,-0.553,-0.544,-0.718,26.37%
08/04/2019,-0.546,-0.548,-0.524,-0.612,-0.18%
07/28/2019,-0.547,-0.538,-0.513,-0.617,4.79%
07/21/2019,-0.522,-0.567,-0.509,-0.619,-4.40%
07/14/2019,-0.546,-0.563,-0.529,-0.627,1.49%
07/07/2019,-0.538,-0.539,-0.527,-0.623,-1.10%
06/30/2019,-0.544,-0.553,-0.525,-0.617,3.62%
06/23/2019,-0.525,-0.527,-0.520,-0.577,-0.19%
06/16/2019,-0.526,-0.538,-0.518,-0.581,-6.24%
06/09/2019,-0.561,-0.552,-0.519,-0.563,0.18%
06/02/2019,-0.560,-0.560,-0.512,-0.566,0.54%
05/26/2019,-0.557,-0.567,-0.504,-0.567,-0.36%
05/19/2019,-0.559,-0.566,-0.509,-0.583,-1.41%
05/12/2019,-0.567,-0.533,-0.519,-0.588,-0.53%
05/05/2019,-0.570,-0.528,-0.517,-0.583,7.75%
04/28/2019,-0.529,-0.557,-0.510,-0.578,-5.20%
04/21/2019,-0.558,-0.542,-0.506,-0.560,2.39%
04/14/2019,-0.545,-0.549,-0.537,-0.558,-0.91%
04/07/2019,-0.550,-0.535,-0.489,-0.553,11.79%
03/31/2019,-0.492,-0.539,-0.482,-0.548,-9.39%
03/24/2019,-0.543,-0.559,-0.489,-0.561,-2.86%
03/17/2019,-0.559,-0.571,-0.508,-0.571,8.54%
03/10/2019,-0.515,-0.555,-0.498,-0.562,-6.53%
03/03/2019,-0.551,-0.538,-0.491,-0.560,11.76%
02/24/2019,-0.493,-0.558,-0.489,-0.561,-11.65%
02/17/2019,-0.558,-0.543,-0.537,-0.561,3.72%
02/10/2019,-0.538,-0.523,-0.501,-0.546,-0.19%
02/03/2019,-0.539,-0.558,-0.514,-0.558,-1.82%
01/27/2019,-0.549,-0.571,-0.500,-0.596,-4.52%
01/20/2019,-0.575,-0.583,-0.567,-0.604,-0.52%
01/13/2019,-0.578,-0.600,-0.564,-0.618,-2.86%
01/06/2019,-0.595,-0.610,-0.585,-0.626,-2.30%
12/30/2018,-0.609,-0.865,-0.600,-0.865,-39.16%
12/23/2018,-1.001,-0.966,-0.966,-1.001,7.98%
12/16/2018,-0.927,-0.748,-0.673,-0.976,36.32%
12/09/2018,-0.680,-0.734,-0.648,-0.786,-7.48%
12/02/2018,-0.735,-0.753,-0.621,-0.764,-1.87%
11/25/2018,-0.749,-0.760,-0.742,-0.791,-1.06%
11/18/2018,-0.757,-0.743,-0.624,-0.780,3.98%
11/11/2018,-0.728,-0.728,-0.639,-0.774,0.83%
11/04/2018,-0.722,-0.807,-0.640,-0.822,-9.07%
10/28/2018,-0.794,-0.818,-0.714,-0.870,-2.22%
10/21/2018,-0.812,-0.769,-0.650,-0.815,9.73%
10/14/2018,-0.740,-0.660,-0.630,-0.760,9.63%
10/07/2018,-0.675,-0.581,-0.519,-0.700,17.60%
09/30/2018,-0.574,-0.575,-0.505,-0.578,-0.52%
09/23/2018,-0.577,-0.567,-0.515,-0.634,-6.18%
09/16/2018,-0.615,-0.541,-0.541,-0.615,14.31%
09/09/2018,-0.538,-0.596,-0.531,-0.607,-5.94%
09/02/2018,-0.572,-0.517,-0.517,-0.622,-1.72%
08/26/2018,-0.582,-0.596,-0.519,-0.657,-6.43%
08/19/2018,-0.622,-0.575,-0.575,-0.637,-1.89%
08/12/2018,-0.634,-0.660,-0.568,-0.661,9.88%
08/05/2018,-0.577,-0.592,-0.570,-0.675,-2.37%
07/29/2018,-0.591,-0.591,-0.550,-0.667,-0.34%
07/22/2018,-0.593,-0.673,-0.557,-0.673,-6.32%
